#https://doi.org/10.1594/PANGAEA.902577
#Depth	Age
0.36	-56.0
0.767	-55.0
1.156	-54.0
1.701	-53.0
2.162	-52.0
2.576	-51.0
3.109	-50.0
3.581	-49.0
4.037	-48.0
4.444	-47.0
4.823	-46.0
5.135	-45.0
5.581	-44.0
6.136	-43.0
6.655	-42.0
7.111	-41.0
7.428	-40.0
7.786	-39.0
8.238	-38.0
8.571	-37.0
8.864	-36.0
9.293	-35.0
9.758	-34.0
10.102	-33.0
10.464	-32.0
10.883	-31.0
11.359	-30.0
11.733	-29.0
11.961	-28.0
12.349	-27.0
12.681	-26.0
12.999	-25.0
13.242	-24.0
13.561	-23.0
14.033	-22.0
14.308	-21.0
14.68	-20.0
14.969	-19.0
15.389	-18.0
15.692	-17.0
15.966	-16.0
16.302	-15.0
16.661	-14.0
17.01	-13.0
17.324	-12.0
17.558	-11.0
17.997	-10.0
18.272	-9.0
18.574	-8.0
18.952	-7.0
19.282	-6.0
19.527	-5.0
19.821	-4.0
20.203	-3.0
20.524	-2.0
20.949	-1.0
21.236	0.0
21.578	1.0
21.853	2.0
22.213	3.0
22.458	4.0
22.842	5.0
23.147	6.0
23.396	7.0
23.826	8.0
24.061	9.0
24.426	10.0
24.839	11.0
25.127	12.0
25.451	13.0
25.727	14.0
26.058	15.0
26.406	16.0
26.627	17.0
27.076	18.0
27.355	19.0
27.679	20.0
28.0	21.0
28.264	22.0
28.572	23.0
28.851	24.0
29.069	25.0
29.306	26.0
29.695	27.0
29.931	28.0
30.202	29.0
30.663	30.0
30.95	31.0
31.308	32.0
31.601	33.0
31.861	34.0
32.102	35.0
32.424	36.0
32.708	37.0
33.013	38.0
33.298	39.0
33.518	40.0
33.807	41.0
34.099	42.0
34.317	43.0
34.487	44.0
34.737	45.0
35.143	46.0
35.481	47.0
35.786	48.0
36.141	49.0
36.462	50.0
36.731	51.0
37.068	52.0
37.285	53.0
37.679	54.0
37.914	55.0
38.13	56.0
38.43	57.0
38.771	58.0
39.03	59.0
39.298	60.0
39.666	61.0
39.969	62.0
40.31	63.0
40.51	64.0
40.707	65.0
40.969	66.0
41.21	67.0
41.585	68.0
41.805	69.0
42.09	70.0
42.522	71.0
42.841	72.0
43.124	73.0
43.422	74.0
43.804	75.0
44.005	76.0
44.272	77.0
44.495	78.0
44.676	79.0
44.887	80.0
45.168	81.0
45.411	82.0
45.732	83.0
45.937	84.0
46.306	85.0
46.508	86.0
46.765	87.0
46.952	88.0
47.278	89.0
47.531	90.0
47.758	91.0
47.959	92.0
48.118	93.0
48.317	94.0
48.727	95.0
48.99	96.0
49.239	97.0
49.568	98.0
49.827	99.0
50.039	100.0
50.347	101.0
50.752	102.0
50.967	103.0
51.18	104.0
51.447	105.0
51.703	106.0
51.981	107.0
52.248	108.0
52.578	109.0
52.809	110.0
53.004	111.0
53.265	112.0
53.488	113.0
53.752	114.0
54.019	115.0
54.231	116.0
54.557	117.0
54.75	118.0
55.052	119.0
55.402	120.0
55.619	121.0
55.861	122.0
56.162	123.0
56.378	124.0
56.693	125.0
57.062	126.0
57.274	127.0
57.511	128.0
57.809	129.0
58.071	130.0
58.321	131.0
58.506	132.0
58.761	133.0
59.015	134.0
59.346	135.0
59.566	136.0
59.793	137.0
60.07	138.0
60.339	139.0
60.59	140.0
60.828	141.0
61.061	142.0
61.315	143.0
61.536	144.0
61.766	145.0
62.008	146.0
62.233	147.0
62.506	148.0
62.75	149.0
62.995	150.0
63.204	151.0
63.388	152.0
63.625	153.0
63.87	154.0
64.201	155.0
64.384	156.0
64.617	157.0
64.888	158.0
65.204	159.0
65.488	160.0
65.747	161.0
65.954	162.0
66.195	163.0
66.523	164.0
66.764	165.0
67.046	166.0
67.345	167.0
67.599	168.0
67.821	169.0
68.078	170.0
68.261	171.0
68.497	172.0
68.705	173.0
68.964	174.0
69.254	175.0
69.568	176.0
69.864	177.0
70.043	178.0
70.29	179.0
70.528	180.0
70.819	181.0
71.033	182.0
71.235	183.0
71.509	184.0
71.786	185.0
72.001	186.0
72.278	187.0
72.53	188.0
72.81	189.0
73.079	190.0
73.3	191.0
73.521	192.0
73.708	193.0
73.942	194.0
74.14	195.0
74.33	196.0
74.584	197.0
74.838	198.0
75.092	199.0
75.349	200.0
75.599	201.0
75.807	202.0
76.003	203.0
76.212	204.0
76.445	205.0
76.64	206.0
76.822	207.0
77.041	208.0
77.266	209.0
77.481	210.0
77.683	211.0
77.951	212.0
78.195	213.0
78.457	214.0
78.748	215.0
78.982	216.0
79.183	217.0
79.403	218.0
79.714	219.0
79.911	220.0
80.158	221.0
80.484	222.0
80.698	223.0
80.94	224.0
81.114	225.0
81.363	226.0
81.542	227.0
81.818	228.0
82.072	229.0
82.271	230.0
82.494	231.0
82.785	232.0
83.007	233.0
83.199	234.0
83.447	235.0
83.626	236.0
83.845	237.0
84.142	238.0
